,KM Driven,Fuel Type,Transmission Type,Ownership,Price(in Lakhs),Brand,Model_Only,Car Age
6941,32080,Petrol,Manual,3,1.35,Maruti,Wagon R 1.0,14
6942,74990,Petrol,Manual,3,2.0,Hyundai,i20,14
6943,140000,Petrol,Manual,2,1.1,Chevrolet,Spark,14
6944,72680,Diesel,Manual,3,2.0,Tata,Zest,10
6945,120000,Petrol,Manual,2,1.49,Honda,Brio,12
6946,5580,Petrol,Manual,1,5.82,Nissan,MAGNITE,2
6947,57850,Diesel,Manual,1,4.0,Hyundai,i20 Active,9
6948,86790,Petrol,Manual,1,4.04,Hyundai,Verna,9
6949,47770,Petrol,Manual,1,2.0,Datsun,Go Plus,10
6950,24770,Petrol,Manual,1,8.0,Tata,PUNCH,3
6951,190000,Petrol,Manual,2,3.6,Hyundai,Elite i20,9
6952,28210,Diesel,Manual,1,0.5,Chevrolet,Beat,14
6953,60080,Petrol,Manual,2,1.54,Ford,Figo,14
6954,37000,Petrol,Manual,2,5.8,Honda,City,8
6955,110000,Diesel,Manual,3,2.3,Hyundai,Verna,12
6956,92480,Petrol,Manual,3,0.95,Hyundai,i20,15
6957,96650,Petrol,Manual,2,1.42,Hyundai,i10,15
6958,23790,Petrol,Manual,1,7.5,Tata,NEXON,2
6959,110000,Petrol,Manual,1,2.5,Ford,FREESTYLE,7
6960,57060,Petrol,Manual,2,2.05,Hyundai,Eon,8
6961,85990,Petrol,Manual,1,1.5,Maruti,Wagon R 1.0,14
6962,51750,Petrol,Manual,1,2.0,Honda,City,13
6963,71200,Petrol,Manual,4,0.86,Hyundai,Santro Xing,14
6964,39070,Petrol,Manual,3,2.27,Hyundai,Grand i10,9
6965,96610,Petrol,Manual,2,3.46,Maruti,Swift,10
6966,170000,Petrol,Manual,1,1.17,Hyundai,i10,14
6967,32990,Petrol,Manual,1,2.8,Hyundai,Grand i10,9
6968,79420,Diesel,Manual,2,2.5,Honda,Jazz,10
6969,52670,Petrol,Manual,2,1.85,Fiat,Linea,14
6970,78610,Petrol,Manual,1,3.46,Ford,Ecosport,9
6971,92440,Petrol,Manual,1,2.0,Hyundai,i20,13
6972,100000,Diesel,Auto,2,19.11,Toyota,Fortuner,8
6973,54940,Diesel,Manual,4,0.94,Ford,Figo,14
6974,37840,Petrol,Manual,1,5.01,Hyundai,Elite i20,7
6975,4080,Petrol,Manual,1,4.6,Maruti,Alto K10,1
6976,68780,Diesel,Manual,1,14.68,Mahindra,Scorpio,4
6977,62010,Petrol,Manual,1,2.71,Volkswagen,Polo,11
6978,21150,Petrol,Manual,1,3.8,Maruti,IGNIS,8
6979,4300,Petrol,Manual,1,8.0,Tata,PUNCH,1
6980,92930,Diesel,Manual,2,2.86,Honda,City,11
6981,55630,Petrol,Manual,2,2.5,Maruti,Alto K10,8
6982,110000,Petrol,Manual,2,2.5,Maruti,Wagon R 1.0,10
6983,98670,Petrol,Manual,1,1.34,Maruti,Alto K10,14
6984,130000,Diesel,Manual,1,5.43,Maruti,Swift,9
6985,31000,Petrol,Manual,1,3.35,Volkswagen,Vento,13
6986,92140,Petrol,Manual,2,2.5,Tata,Tiago,9
6987,67730,Petrol,Manual,1,1.81,Maruti,Alto,13
6988,37500,Petrol,Manual,1,6.2,Maruti,Dzire,2
6989,11250,Petrol,Auto,1,8.0,Tata,PUNCH,4
6990,42490,Diesel,Manual,2,2.5,Hyundai,Grand i10,10
6991,44300,Petrol,Manual,1,1.37,Hyundai,i10,15
6992,110000,Diesel,Manual,1,4.5,Honda,City,11
6993,26900,Petrol,Manual,1,6.36,Tata,PUNCH,1
